FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;202504;513881387;UR-LA4-1233;87088055;AT;PT;10;EXW;11;3;;2,5;1;116;;QV999999999999;
INTRA-EX;202504;513881387;ATMSHYU17;87089997;DK;PT;10;EXW;11;3;;1,5;1;113;;QV999999999999;
INTRA-EX;202504;513881387;FMMD7;87089235;DK;PT;10;EXW;11;3;;0,6;1;86;;QV999999999999;
INTRA-EX;202504;513881387;R17-10-2;40091100;CY;PT;10;EXW;11;3;;0,1;1;84;;QV999999999999;
INTRA-EX;202504;513881387;SILZKGR8C8S-6;84099100;CY;PT;10;EXW;11;3;;0,4;1;101;;QV999999999999;
INTRA-EX;202504;513881387;FMRLH-RED;40093100;RO;PT;10;EXW;11;3;;0,7;1;63;;QV999999999999;
INTRA-EX;202504;513881387;CTS-HW-031;87089235;RO;PT;10;EXW;11;3;;0,1;1;100;;QV999999999999;
INTRA-EX;202504;513881387;AC-200-HS;87089997;SE;PT;10;EXW;11;3;;0,5;1;21;;QV999999999999;
INTRA-EX;202504;513881387;1K0121407A;87089997;SE;PT;10;EXW;11;3;;0,8;1;9;;QV999999999999;
INTRA-EX;202504;513881387;8D0121403M;84099100;FI;PT;10;EXW;11;3;;0,9;1;21;;FI32656805;
INTRA-EX;202504;513881387;034-101-3066;40091100;FI;PT;10;EXW;11;3;;0,2;1;21;;FI32656805;
INTRA-EX;202504;513881387;CTS-DB-MK4-60D;84099100;SI;PT;10;EXW;11;3;;1,2;1;45;;QV999999999999;
INTRA-EX;202504;513881387;W53188;87088055;SI;PT;10;EXW;11;3;;0,6;1;41;;QV999999999999;
INTRA-EX;202504;513881387;SBMC074;87089235;LU;PT;10;EXW;11;3;;5;1;336;;LU28446117;
INTRA-EX;202504;513881387;VWR190003;87089997;DE;PT;10;EXW;11;3;;0,4;1;95;;QV999999999999;
INTRA-EX;202504;513881387;MMSD-G80-21WBK;87089135;PL;PT;10;EXW;11;3;;4,8;1;352;;QV999999999999;
INTRA-EX;202504;513881387;S90-2-15-055-B-BT;87087050;BE;PT;10;EXW;11;3;;1,8;1;121;;BE0763504123;
INTRA-EX;202504;513881387;S90-2-12-023-B-BT;87087050;BE;PT;10;EXW;11;3;;1,8;1;116;;BE0763504123;
INTRA-EX;202504;513881387;VWR640012;87089997;BE;PT;10;EXW;11;3;;2,2;2;174;;BE0763504123;
INTRA-EX;202504;513881387;JSK-145-70-BK;84213100;BE;PT;10;EXW;11;3;;2,5;1;205;;QV999999999999;
INTRA-EX;202504;513881387;S90-4-20-013;87087050;BE;PT;10;EXW;11;3;;2,1;2;193;;QV999999999999;
INTRA-EX;202504;513881387;FMSCPS53TIK;87089997;BE;PT;10;EXW;11;3;;1,8;1;170;;QV999999999999;
INTRA-EX;202504;513881387;BWR24Z;87088055;GR;PT;10;EXW;11;3;;3,6;1;136;;GREL156587530;
INTRA-EX;202504;513881387;CTS-HW-0151;84099100;GR;PT;10;EXW;11;3;;1;1;145;;QV999999999999;
INTRA-EX;202504;513881387;AC-R56-TB;87089997;GR;PT;10;EXW;11;3;;0,4;3;174;;QV999999999999;
INTRA-EX;202504;513881387;MMRAD-FIST-14K;87089135;IT;PT;10;EXW;11;3;;10,1;1;497;;IT02928270616;
INTRA-EX;202504;513881387;MMTS-FIST-14;87089997;IT;PT;10;EXW;11;3;;0,1;1;46;;QV999999999999;
INTRA-EX;202504;513881387;WHT005184;40091100;NL;PT;10;EXW;11;3;;0,1;1;4;;NL866860666B01;
INTRA-EX;202504;513881387;S-TY/T/3;87089235;IT;PT;10;EXW;11;3;;13;2;4275;;IT03813391202;
INTRA-EX;202504;513881387;E-TY/SS/4;87089235;IT;PT;10;EXW;11;3;;8,7;2;814;;IT03813391202;
INTRA-EX;202504;513881387;KTA255;87089997;NL;PT;10;EXW;11;3;;7,8;1;256;;NL866860666B01;
INTRA-EX;202504;513881387;MS100192;85111000;IT;PT;10;EXW;11;3;;0,3;13;485;;IT14481871003;
INTRA-EX;202504;513881387;Z1003100;85111000;IT;PT;10;EXW;11;3;;0,1;9;224;;IT14481871003;
INTRA-EX;202504;513881387;U5014;84099100;IT;PT;10;EXW;11;3;;0,3;9;192;;IT14481871003;
INTRA-EX;202504;513881387;R7437-9-4;87089997;NL;PT;10;EXW;11;3;;0,3;1;165;;QV999999999999;
INTRA-EX;202504;513881387;24996-AK031;84213100;IT;PT;10;EXW;11;3;;0,3;1;98;;QV999999999999;
INTRA-EX;202504;513881387;MMOFC-HN-BK;87089997;IT;PT;10;EXW;11;3;;0,2;1;38;;QV999999999999;
INTRA-EX;202504;513881387;CTS-IT-500;40091100;IT;PT;10;EXW;11;3;;1,6;1;147;;QV999999999999;
INTRA-EX;202504;513881387;AC-VAG-CC;87089997;ES;PT;10;EXW;11;3;;0,3;1;37;;ES78593004Q;
INTRA-EX;202504;513881387;AC-VAG-BC;87089997;ES;PT;10;EXW;11;3;;0,2;1;22;;ES78593004Q;
INTRA-EX;202504;513881387;RBF600;27101999;ES;PT;10;EXW;11;3;;0,6;2;19;;QV999999999999;
INTRA-EX;202504;513881387;UR-RU4-2987;87088055;ES;PT;10;EXW;11;3;;3,3;1;159;;QV999999999999;
